rbi,hr,obp,avg,age,avg pred,avg real,error,avg avg,abs error,
21,7,0.348,0.228,1988,0.236179499,0.183,0.053179499,,0.053179499,
79,21,0.334,0.287,1982,0.267156874,0.298,-0.030843126,,0.030843126,
34,10,0.325,0.232,1984,0.244056984,0.224,0.020056984,,0.020056984,
1,0,0.429,0.333,1992,0.225782406,0.258,-0.032217594,,0.032217594,
61,16,0.316,0.261,1994,0.250884974,0.271,-0.020115026,,0.020115026,
77,23,0.329,0.24,1983,0.26633036,0.231,0.03533036,,0.03533036,
84,25,0.356,0.285,1983,0.270516395,0.305,-0.034483605,,0.034483605,
45,5,0.318,0.25,1988,0.244159455,0.186,0.058159455,,0.058159455,
7,4,0.221,0.193,1990,0.2254222,0.258,-0.0325778,,0.0325778,
73,16,0.308,0.249,1984,0.261176882,0.218,0.043176882,,0.043176882,
70,21,0.28,0.26,1990,0.257614911,0.247,0.010614911,,0.010614911,
3,0,0.238,0.184,1989,0.223463569,0.31,-0.086536431,,0.086536431,
29,6,0.294,0.264,1990,0.236511795,0.263,-0.026488205,,0.026488205,
4,3,0.325,0.25,1990,0.226506386,0.265,-0.038493614,,0.038493614,
82,22,0.375,0.276,1982,0.269711902,0.242,0.027711902,,0.027711902,
69,11,0.296,0.265,1990,0.254067376,0.27,-0.015932624,,0.015932624,
81,19,0.337,0.287,1988,0.263864937,0.311,-0.047135063,,0.047135063,
39,7,0.359,0.305,1991,0.241864813,0.273,-0.031135187,,0.031135187,
0,0,0.175,0.132,1988,0.221301742,0.208,0.013301742,,0.013301742,
40,16,0.318,0.225,1989,0.245502648,0.247,-0.001497352,,0.001497352,
0,0,0.185,0.185,1986,0.222712166,0.125,0.097712166,,0.097712166,
11,1,0.324,0.269,1989,0.229064789,0.27,-0.040935211,,0.040935211,
41,12,0.34,0.268,1989,0.245066384,0.247,-0.001933616,,0.001933616,
12,2,0.245,0.211,1991,0.226686309,0.245,-0.018313691,,0.018313691,
36,13,0.327,0.27,1990,0.242559375,0.242,0.000559375,,0.000559375,
1,1,0.295,0.225,1993,0.222226049,0.342,-0.119773951,,0.119773951,
18,3,0.324,0.252,1991,0.231330326,0.257,-0.025669674,,0.025669674,
39,9,0.295,0.239,1986,0.243784246,0.27,-0.026215754,,0.026215754,
64,11,0.301,0.245,1978,0.259113738,0.289,-0.029886262,,0.029886262,
29,8,0.336,0.253,1990,0.238248884,0.259,-0.020751116,,0.020751116,
0,0,0.182,0.182,1992,0.219285884,0.276,-0.056714116,,0.056714116,
59,16,0.295,0.263,1991,0.251300638,0.267,-0.015699362,,0.015699362,
81,7,0.355,0.32,1992,0.257761642,0.294,-0.036238358,,0.036238358,
61,4,0.31,0.27,1982,0.253386594,0.307,-0.053613406,,0.053613406,
45,12,0.267,0.231,1987,0.245929277,0.167,0.078929277,,0.078929277,
63,14,0.32,0.27,1987,0.255110334,0.286,-0.030889666,,0.030889666,
38,11,0.322,0.255,1990,0.242496421,0.263,-0.020503579,,0.020503579,
47,16,0.353,0.234,1988,0.249719779,0.228,0.021719779,,0.021719779,
31,5,0.268,0.224,1992,0.235114248,0.208,0.027114248,,0.027114248,
28,9,0.31,0.258,1985,0.240426623,0.252,-0.011573377,,0.011573377,
3,2,0.232,0.224,1983,0.227421786,0.212,0.015421786,,0.015421786,
49,14,0.33,0.266,1987,0.24982838,0.257,-0.00717162,,0.00717162,
65,19,0.34,0.272,1991,0.255880253,0.181,0.074880253,,0.074880253,
52,15,0.372,0.266,1989,0.251270536,0.248,0.003270536,,0.003270536,
13,2,0.393,0.297,1988,0.232470005,0.301,-0.068529995,,0.068529995,
73,26,0.322,0.285,1985,0.264534247,0.281,-0.016465753,,0.016465753,
43,12,0.304,0.239,1994,0.242054733,0.25,-0.007945267,,0.007945267,
71,17,0.383,0.312,1979,0.265555362,0.273,-0.007444638,,0.007444638,
30,3,0.287,0.242,1982,0.240214398,0.237,0.003214398,,0.003214398,
101,23,0.286,0.241,1980,0.276385283,0.245,0.031385283,,0.031385283,
54,6,0.272,0.25,1986,0.248058423,0.231,0.017058423,,0.017058423,
45,9,0.293,0.208,1984,0.247214099,0.245,0.002214099,,0.002214099,
